,Time,Data,Attack,knn,Exponentially Weighted Moving Average,Cumulative Sum Algorithm,3A Alarm
196,196,9,0,0,0,0,0
197,197,19,0,0,0,0,0
198,198,17,0,0,0,0,0
199,199,8,0,0,0,0,0
200,200,7,0,0,0,0,0
201,201,10,0,0,0,0,0
202,202,1,0,0,0,0,0
203,203,11,0,0,0,0,0
204,204,10,0,0,0,0,0
205,205,9,0,0,0,0,0
206,206,6,0,0,0,0,0
207,207,22,0,0,0,0,0
208,208,13,0,0,0,0,0
209,209,34,0,0,0,0,0
210,210,12,0,0,0,0,0
211,211,10,0,0,0,0,0
212,212,12,0,0,0,0,0
213,213,10,0,0,0,0,0
214,214,11,0,0,0,0,0
215,215,8,0,0,0,0,0
216,216,5,0,0,0,0,0
217,217,13,0,0,0,0,0
218,218,8,0,0,0,0,0
219,219,13,0,0,0,0,0
220,220,6,0,0,0,0,0
221,221,3,0,0,0,0,0
222,222,17,0,0,0,0,0
223,223,6,0,0,0,0,0
224,224,12,0,0,0,0,0
225,225,15,0,0,0,0,0
226,226,6,0,0,0,0,0
227,227,6,0,0,0,0,0
228,228,6,0,0,0,0,0
229,229,11,0,0,0,0,0
230,230,7,0,0,0,0,0
231,231,4,0,0,0,0,0
232,232,10,0,0,0,0,0
233,233,5,0,0,0,0,0
234,234,8,0,0,0,0,0
235,235,8,0,0,0,0,0
236,236,9,0,0,0,0,0
237,237,10,0,0,0,0,0
238,238,7,0,0,0,0,0
239,239,13,0,0,0,0,0
240,240,7,0,0,0,0,0
241,241,7,0,0,0,0,0
242,242,10,0,0,0,0,0
243,243,7,0,0,0,0,0
244,244,10,0,0,0,0,0
245,245,9,0,0,0,0,0
246,246,9,0,0,0,0,0
247,247,9,0,0,0,0,0
248,248,62,0,0,0,0,0
249,249,10,0,0,0,0,0
250,250,10,0,0,0,0,0
251,251,6,0,0,0,0,0
252,252,8,0,0,0,0,0
253,253,10,0,0,0,0,0
254,254,3,0,0,0,0,0
255,255,10,0,0,0,0,0
256,256,18,0,0,0,0,0
257,257,10,0,0,0,0,0
258,258,8,0,0,0,0,0
259,259,10,0,0,0,0,0
260,260,9,0,0,0,0,0
261,261,8,0,0,0,0,0
262,262,9,0,0,0,0,0
263,263,6,0,0,0,0,0
264,264,9,0,0,0,0,0
265,265,8,0,0,0,0,0
266,266,5,0,0,0,0,0
267,267,23,0,0,0,0,0
268,268,35,0,0,0,0,0
269,269,75,0,0,0,0,0
270,270,10,0,0,0,0,0
271,271,17,0,0,0,0,0
272,272,8,0,0,0,0,0
273,273,21,0,0,0,0,0
274,274,11,0,0,0,0,0
275,275,13,0,0,0,0,0
276,276,4,0,0,0,0,0
277,277,10,0,0,0,0,0
278,278,12,0,0,0,0,0
279,279,12,0,0,0,0,0
280,280,9,0,0,0,0,0
281,281,6,0,0,0,0,0
282,282,11,0,0,0,0,0
283,283,16,0,0,0,0,0
284,284,1,0,0,0,0,0
285,285,8,0,0,0,0,0
286,286,3,0,0,0,0,0
287,287,1,0,0,0,0,0
288,288,4,0,0,0,0,0
289,289,7,0,0,0,0,0
290,290,2,0,0,0,0,0
291,292,19,0,0,0,0,0
292,293,34,0,0,0,0,0
293,294,75,0,0,0,0,0
294,295,89,0,0,0,0,0
295,296,17,0,0,0,0,0
296,297,12,0,0,0,0,0
297,298,6,0,0,0,0,0
298,299,26,0,0,0,0,0
299,300,24,0,0,0,0,0
300,301,59,0,0,0,0,0
301,302,10,0,0,0,0,0
302,303,9,0,0,0,0,0
303,304,4,0,0,0,0,0
304,305,6,0,0,0,0,0
305,306,15,0,0,0,0,0
306,307,11,0,0,0,0,0
307,308,1,0,0,0,0,0
308,309,9,0,0,0,0,0
309,310,2,0,0,0,0,0
310,311,106,0,0,1,0,0
311,312,15,0,0,0,0,0
312,313,2,0,0,0,0,0
313,316,6,0,0,0,0,0
314,317,2,0,0,0,0,0
315,319,1,0,0,0,0,0
316,320,4,0,0,0,0,0
317,321,8,0,0,0,0,0
318,322,4,0,0,0,0,0
319,323,1,0,0,0,0,0
320,325,2,0,0,0,0,0
321,327,2,0,0,0,0,0
322,328,2,0,0,0,0,0
323,329,2,0,0,0,0,0
324,330,2,0,0,0,0,0
325,331,2,0,0,0,0,0
326,332,4,0,0,0,0,0
327,334,2,0,0,0,0,0
328,335,9,0,0,0,0,0
329,336,4,0,0,0,0,0
330,337,2,0,0,0,0,0
331,338,2,0,0,0,0,0
332,339,3,0,0,0,0,0
333,340,2,0,0,0,0,0
334,341,4,0,0,0,0,0
335,342,4,0,0,0,0,0
336,344,7,0,0,0,0,0
337,345,7,0,0,0,0,0
338,346,6,0,0,0,0,0
339,347,4,0,0,0,0,0
340,348,5,0,0,0,0,0
341,349,2,0,0,0,0,0
342,350,5,0,0,0,0,0
343,352,5,0,0,0,0,0
344,353,7,0,0,0,0,0
345,354,8,0,0,0,0,0
346,355,2,0,0,0,0,0
347,356,4,0,0,0,0,0
348,357,2,0,0,0,0,0
349,359,2,0,0,0,0,0
350,360,12,0,0,0,0,0
351,361,16,0,0,0,0,0
352,362,16,0,0,0,0,0
353,364,2,0,0,0,0,0
354,365,8,0,0,0,0,0
355,366,4,0,0,0,0,0
356,367,3,0,0,0,0,0
357,368,2,0,0,0,0,0
358,369,4,0,0,0,0,0
359,371,3,0,0,0,0,0
360,372,1,0,0,0,0,0
361,375,7,0,0,0,0,0
362,376,2,0,0,0,0,0
363,377,4,0,0,0,0,0
364,378,5,0,0,0,0,0
365,379,2,0,0,0,0,0
366,381,2,0,0,0,0,0
367,383,2,0,0,0,0,0
368,384,11,0,0,0,0,0
369,385,7,0,0,0,0,0
370,386,8,0,0,0,0,0
371,387,2,0,0,0,0,0
372,388,4,0,0,0,0,0
373,389,2,0,0,0,0,0
374,390,5,0,0,0,0,0
375,391,2,0,0,0,0,0
376,392,2,0,0,0,0,0
377,393,6,0,0,0,0,0
378,394,3,0,0,0,0,0
379,395,4,0,0,0,0,0
380,397,8,0,0,0,0,0
381,398,2,0,0,0,0,0
382,399,2,0,0,0,0,0
383,400,4,0,0,0,0,0
384,401,2,0,0,0,0,0
385,405,6,0,0,0,0,0
386,406,2,0,0,0,0,0
387,407,8,0,0,0,0,0
388,408,2,0,0,0,0,0
389,409,10,0,0,0,0,0
390,410,28,0,0,0,0,0
391,411,7,0,0,0,0,0
392,412,3,0,0,0,0,0
393,413,10,0,0,0,0,0
394,414,10,0,0,0,0,0
395,415,19,0,0,0,0,0
396,416,21,0,0,0,0,0
397,417,14,0,0,0,0,0
398,419,4,0,0,0,0,0
399,420,4,0,0,0,0,0
400,421,8,0,0,0,0,0
401,422,2,0,0,0,0,0
402,425,7,0,0,0,0,0
403,426,5,0,0,0,0,0
404,427,6,0,0,0,0,0
405,428,5,0,0,0,0,0
406,429,2,0,0,0,0,0
407,430,2,0,0,0,0,0
408,431,1,0,0,0,0,0
409,432,2,0,0,0,0,0
410,433,6,0,0,0,0,0
411,435,3,0,0,0,1,0
412,436,563,0,0,1,1,1
413,437,3,0,0,0,0,0
414,438,8,0,0,0,0,0
415,439,18,0,0,0,0,0
416,440,14,0,0,0,0,0
417,441,6,0,0,0,0,0
418,445,6,0,0,0,0,0
419,446,2,0,0,0,0,0
420,449,2,0,0,0,0,0
421,454,2,0,0,0,0,0
422,455,8,0,0,0,0,0
423,457,1,0,0,0,0,0
424,458,2,0,0,0,0,0
425,459,4,0,0,0,0,0
426,460,2,0,0,0,0,0
427,461,4,0,0,0,0,0
428,463,1,0,0,0,0,0
429,464,8,0,0,0,0,0
430,465,23,0,0,0,0,0
431,466,18,0,0,0,0,0
432,467,6,0,0,0,0,0
433,468,2,0,0,0,0,0
434,469,4,0,0,0,0,0
435,470,12,0,0,0,0,0
436,471,16,0,0,0,0,0
437,472,14,0,0,0,0,0
438,474,2,0,0,0,0,0
439,475,7,0,0,0,0,0
440,477,2,0,0,0,0,0
441,479,2,0,0,0,0,0
442,480,2,0,0,0,0,0
443,485,6,0,0,0,0,0
444,486,1,0,0,0,0,0
445,489,2,0,0,0,0,0
446,490,1,0,0,0,0,0
447,495,5,0,0,0,0,0
448,496,8,0,0,0,0,0
449,499,13,0,0,0,0,0
450,500,35,0,0,0,0,0
451,501,40,0,0,0,0,0
452,502,3,0,0,0,0,0
453,503,3,0,0,0,0,0
454,505,15,0,0,0,0,0
455,506,38,0,0,0,0,0
456,509,2,0,0,0,0,0
457,510,2,0,0,0,0,0
458,511,4,0,0,0,0,0
459,514,2,0,0,0,0,0
460,515,5,0,0,0,0,0
461,517,2,0,0,0,0,0
462,519,4,0,0,0,0,0
463,520,2,0,0,0,0,0
464,525,7,0,0,0,0,0
465,526,3,0,0,0,0,0
466,528,4,0,0,0,0,0
467,529,2,0,0,0,0,0
468,531,2,0,0,0,0,0
469,532,2,0,0,0,0,0
470,535,7,0,0,0,0,0
471,537,1,0,0,0,0,0
472,538,12,0,0,0,0,0
473,539,17,0,0,0,0,0
474,540,15,0,0,0,0,0
475,541,14,0,0,0,0,0
476,542,11,0,0,0,0,0
477,543,14,1,0,0,0,0
478,544,18,1,0,0,0,0
479,545,22,1,0,0,0,0
480,546,16,1,0,0,0,0
481,547,15,1,0,0,0,0
482,548,16,1,0,0,0,0
483,549,18,1,0,0,0,0
484,550,15,1,0,0,0,0
485,551,16,1,0,0,0,0
486,552,15,1,0,0,0,0
487,553,17,1,0,0,0,0
488,554,15,1,0,0,0,0
489,555,22,1,0,0,0,0
490,556,10,1,0,0,0,0
491,557,14,1,0,0,0,0
492,558,11,1,0,0,0,0
493,559,15,1,0,0,0,0
494,560,12,1,0,0,0,0
495,561,25,1,0,0,0,0
496,562,25,1,0,0,0,0
497,563,19,1,0,0,0,0
498,564,14,1,0,0,0,0
499,565,16,1,0,0,0,0
500,566,13,1,0,0,0,0
501,567,11,1,0,0,0,0
502,568,13,1,0,0,0,0
503,569,12,1,0,0,0,0
504,570,19,1,0,0,0,0
505,571,19,1,0,0,0,0
506,572,18,1,0,0,0,0
507,573,19,1,0,0,0,0
508,574,19,1,0,0,0,0
509,575,19,1,0,0,0,0
510,576,19,1,0,0,0,0
511,577,19,1,0,0,0,0
512,578,18,1,0,0,0,0
513,579,20,1,0,0,0,0
514,580,18,1,0,0,1,0
515,581,155,1,0,1,1,1
516,582,225,1,0,1,1,1
517,583,430,1,0,1,1,1
518,584,692,1,1,1,1,1
519,585,367,1,0,1,1,1
520,586,532,1,0,1,1,1
521,587,671,1,1,1,1,1
522,588,754,1,1,1,1,1
523,589,907,1,1,1,1,1
524,590,1019,1,1,1,1,1
525,591,948,1,1,1,1,1
526,592,857,1,1,1,1,1
527,593,750,1,1,1,0,1
528,594,746,1,1,1,1,1
529,595,445,1,0,0,1,0
530,596,347,1,0,1,1,1
531,597,251,1,0,1,1,1
532,598,331,1,0,1,1,1
533,599,457,1,0,0,1,0
534,600,511,1,0,0,1,0
535,601,276,1,0,1,1,1
536,602,222,1,0,1,0,0
537,603,205,1,0,1,0,0
538,604,215,1,0,1,0,0
539,605,243,1,0,1,0,0
540,606,137,1,0,1,0,0
541,607,174,1,0,1,0,0
542,608,243,1,0,1,0,0
543,609,165,1,0,1,0,0
544,610,135,1,0,1,0,0
545,611,92,1,0,1,0,0
546,612,51,1,0,1,0,0
547,613,35,1,0,1,0,0
548,614,23,1,0,1,0,0
549,615,49,1,0,1,0,0
550,616,80,1,0,1,0,0
551,617,127,1,0,1,0,0
552,618,112,1,0,1,0,0
553,619,183,1,0,0,0,0
554,620,83,1,0,1,0,0
555,621,102,1,0,1,0,0
556,622,81,1,0,1,0,0
557,623,38,1,0,1,0,0
558,624,22,1,0,1,0,0
559,625,19,1,0,1,0,0
560,626,69,1,0,0,0,0
561,627,34,1,0,1,0,0
